Incident Address Display,Borough,Community Board,Police Precinct,Status,Resolution Action
1138 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1138 LONGFELLOW AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1138 WHEELER AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
114 12 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Closed,Cleaning crew dispatched.  Property cleaned.
114 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,Closed,Cleaning crew dispatched.  Property cleaned.
114 BEVERLY ROAD,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
114 CORTELYOU ROAD,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
114 EAST 4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,Closed,Cleaning crew dispatched.  Property cleaned.
114 MARCUS GARVEY BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
114 MARION STREET,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
114 RIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
114 RUTLAND ROAD,BROOKLYN,09 BROOKLYN,Precinct 71,Pending,Cleaning crew dispatched.  Property cleaned.
114 TROUTMAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
114 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
114 WEST 168 STREET,BRONX,04 BRONX,Precinct 44,Open,Site downloaded for cleaning
114 WEST 27 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
114-01 14 ROAD,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
114-02 114 STREET,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
114-02 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
114-02 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
114-04 208 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
114-04 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
114-08 208 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
114-08 208 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
114-15 15 AVENUE,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
114-20 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
114-21 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
114-64 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
11415 115 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,Open,Unspecified
1142 EAST 165 STREET,BRONX,02 BRONX,Precinct 41,Open,Site downloaded for cleaning
1142 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Site downloaded for cleaning
1143 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1143 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1143 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1145 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
1145 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Open,Site downloaded for cleaning
1147 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1147 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,Open,Unspecified
1147 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,Open,Unspecified
1148 BOYNTON AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1148 CLOSE AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1149 CLOSE AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1149 JEROME AVENUE,BRONX,04 BRONX,Precinct 44,Closed,Cleaning crew dispatched.  Property cleaned.
1149 STRATFORD AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
115 12 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,Open,Unspecified
115 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
115 DIVISION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Site downloaded for cleaning
115 EAST 115 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched. No graffiti on property.
115 EAST 125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
115 EAST 31 STREET,MANHATTAN,05 MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
115 EDGECOMBE AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
115 EDGECOMBE AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
115 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
115 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,Closed,Cleaning crew dispatched.  Property cleaned.
115 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
115 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
115 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site downloaded for cleaning
115 MILL ROAD,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,Closed,Cleaning crew dispatched.  Property cleaned.
115 NORTH 6 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
115 WEST 142 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
115-01 208 STREET,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
115-01 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Closed,Cleaning crew dispatched.  Property cleaned.
115-01 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Open,Site downloaded for cleaning
115-02 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
115-07 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
115-124 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,Closed,Cleaning crew dispatched.  Property cleaned.
115-13 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Pending,Cleaning crew dispatched.  Property cleaned.
115-13A MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
115-17 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Pending,Cleaning crew dispatched.  Property cleaned.
115-17 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
115-19 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
115-21 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Open,Unspecified
115-22 FRANCIS LEWIS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
115-23 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Pending,Cleaning crew dispatched.  Property cleaned.
115-26 FRANCIS LEWIS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
115-45 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
115-70 205 STREET,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
115-72 205 STREET,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
115-72 205 STREET,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
115-72 FRANCIS LEWIS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
115-77 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
1150 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1150 CLOSE AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1150 GARRISON AVENUE,BRONX,02 BRONX,Precinct 41,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1150 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1150 ST LAWRENCE AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1151 BRONX PARK AVE,BRONX,Unspecified BRONX,Unspecified,Open,Unspecified
1151 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
1152 64 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,Open,Site downloaded for cleaning
1153 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Open,Unspecified
1154 ATLANTIC AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Closed,Cleaning crew dispatched.  Property cleaned.
1154 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,Closed,Cleaning crew dispatched.  Property cleaned.
1154 CONEY ISLAND AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,Closed,Graffiti is intentional.
1154 FLUSHING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
1154 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,Closed,Cleaning crew dispatched.  Property cleaned.
1154 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched.  Property cleaned.
1154 STRATFORD AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1155 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1155 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1155 COMMERCE AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1155 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1155 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1155 PARK PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site downloaded for cleaning
1156 FOREST AVENUE,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1156 FOREST AVENUE,BRONX,03 BRONX,Precinct 42,Open,Site downloaded for cleaning
1156 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
1156 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
1156 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
1156 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Open,Site downloaded for cleaning
1156 METCALF AVENUE,BRONX,09 BRONX,Precinct 43,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1156 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1156 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Open,Site downloaded for cleaning
1157 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1157 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1157 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1158 BOYNTON AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1158 COLGATE AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1158 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1159 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1159 38 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1159 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Open,Site downloaded for cleaning
116 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Unspecified
116 CHARLES STREET,MANHATTAN,02 MANHATTAN,Precinct 6,Closed,Cleaning crew dispatched. No graffiti on property.
116 CORNELIA STREET,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
116 EAST 124 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,Closed,Cleaning crew dispatched.  Property cleaned.
116 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched. No graffiti on property.
116 FORSYTHE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched. No graffiti on property.
116 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
116 ROEBLING STREET,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
116 SEAMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
116 SEAMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
116 WEST 124 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched. No graffiti on property.
116 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
116 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
116 WEST 129 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,Closed,Cleaning crew dispatched.  Property cleaned.
116 WEST 24 STREET,MANHATTAN,04 MANHATTAN,Precinct 13,Open,Site downloaded for cleaning
116-01 14 ROAD,QUEENS,07 QUEENS,Precinct 109,Open,Site downloaded for cleaning
116-01 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
116-02 205 STREET,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
116-12 JAMAICA AVENUE,QUEENS,09 QUEENS,Precinct 102,Pending,Cleaning crew dispatched.  Property cleaned.
116-20 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
116-20 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
116-41 200 STREET,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
116-50 172 STREET,QUEENS,Unspecified QUEENS,Unspecified,Open,Unspecified
1160 FLUSHING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Site downloaded for cleaning
1160 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1160A PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1161 ELDER AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1161 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1161 ST LAWRENCE AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1162 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1162 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1163 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Site to be cleaned.
1163 MANOR AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1165 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
1165 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
1165 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1165 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1166 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
1166 BROADWAY,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched. No graffiti on property.
1166 EAST 92 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,Closed,Cleaning crew dispatched.  Property cleaned.
1166 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Graffiti is intentional.
1167 LENOX ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Closed,Cleaning crew dispatched.  Property cleaned.
1167 LENOX ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,Open,Site downloaded for cleaning
1167 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Closed,Cleaning crew dispatched.  Property cleaned.
1168 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1168 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1168 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1168 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,Closed,Cleaning crew dispatched.  Property cleaned.
1169 CROSBY AVENUE,BRONX,10 BRONX,Precinct 45,Open,Site downloaded for cleaning
117 BOERUM STREET,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Unspecified
117 DITMAS AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
117 EAST 86 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,Closed,Cleaning crew dispatched.  Property cleaned.
117 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,Closed,Cleaning crew dispatched.  Property cleaned.
117 HAMILTON AVENUE,BROOKLYN,06 BROOKLYN,Precinct 76,Open,Site downloaded for cleaning
117 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
117 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
117 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Closed,Cleaning crew dispatched.  Property cleaned.
117 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
117 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
117 WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,Closed,Cleaning crew dispatched.  Property cleaned.
117-01 139 STREET,QUEENS,12 QUEENS,Precinct 113,Open,Site downloaded for cleaning
117-02 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
117-02 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Open,Site downloaded for cleaning
117-03 115 AVENUE,QUEENS,10 QUEENS,Precinct 106,Open,Site downloaded for cleaning
117-05 FRANCIS LEWIS BOULEVARD,QUEENS,13 QUEENS,Precinct 105,Open,Unspecified
117-08 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
117-08 MERRICK BOULEVARD,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
117-20 ROCKAWAY BOULEVARD,QUEENS,10 QUEENS,Precinct 106,Closed,Cleaning crew dispatched.  Property cleaned.
117-30 201 STREET,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
1170 60 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,Closed,Cleaning crew dispatched.  Property cleaned.
1170 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1170 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1170 PARK AVE,BROOKLYN,Unspecified BROOKLYN,Unspecified,Open,Unspecified
1170 SHAKESPEARE AVENUE,BRONX,04 BRONX,Precinct 44,Pending,Cleaning crew dispatched.  Property cleaned.
1170B COLGATE AVENUE,BRONX,09 BRONX,Precinct 43,Open,Unspecified
1171 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1172 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1172 PRESIDENT STREET,BROOKLYN,09 BROOKLYN,Precinct 71,Closed,Cleaning crew dispatched.  Property cleaned.
1172 SHAKESPEARE AVENUE,BRONX,04 BRONX,Precinct 44,Pending,Cleaning crew dispatched.  Property cleaned.
1173 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1173 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1173 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1173 ST JOHNS PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site to be cleaned.
1173 STRATFORD AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1174 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1174 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,Closed,Cleaning crew dispatched.  Property cleaned.
1174 SHAKESPEARE AVENUE,BRONX,04 BRONX,Precinct 44,Pending,Cleaning crew dispatched.  Property cleaned.
1175 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1175 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site to be cleaned.
1176 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1177 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,Closed,Cleaning crew dispatched. No graffiti on property.
1177 CASTLEHILL AVENUE,BRONX,09 BRONX,Precinct 43,Open,Unspecified
1177 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Unspecified
1177 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Unspecified
1177 FLUSHING AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,Open,Unspecified
1177 STRATFORD AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1178 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,Closed,Cleaning crew dispatched.  Property cleaned.
1178 HAVEMEYER AVENUE,BRONX,09 BRONX,Precinct 43,Closed,Cleaning crew dispatched.  Property cleaned.
1179 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent
1179 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site downloaded for cleaning
1179 PUGSLEY AVENUE,BRONX,09 BRONX,Precinct 43,Open,Site to be cleaned.
118 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,Closed,Cleaning crew dispatched.  Property cleaned.
118 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
118 FORSYTH STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched.  Property cleaned.
118 FORSYTHE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,Closed,Cleaning crew dispatched. No graffiti on property.
118 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 84,Open,Site to be cleaned.
118 KINGSTON AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,Open,Site downloaded for cleaning
118 LEXINGTON AVENUE,MANHATTAN,05 MANHATTAN,Precinct 13,Open,Unspecified
118 MADISON STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,Closed,Cleaning crew dispatched.  Property cleaned.
118 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Open,Site downloaded for cleaning
118 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,Closed,Cleaning crew dispatched.  Property cleaned.
118 NORMAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,Closed,Cleaning crew dispatched.  Property cleaned.
118 PRINCE STREET,MANHATTAN,02 MANHATTAN,Precinct 1,Closed,Cleaning crew dispatched. No graffiti on property.
118 ST NICHOLAS AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,Closed,Cleaning crew dispatched.  Property cleaned.
118 WEST 190 STREET,BRONX,07 BRONX,Precinct 52,Closed,Cleaning crew dispatched.  Property cleaned.
118 WEST 27 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,Closed,Cleaning crew dispatched.  Property cleaned.
118-02 203 STREET,QUEENS,12 QUEENS,Precinct 113,Closed,Cleaning crew dispatched.  Property cleaned.
